"Name","Status","DisplayName"
"MSDTC","Stopped","Distributed Transaction Coordinator"
"MSiSCSI","Stopped","Microsoft iSCSI Initiator Service"
"msiserver","Stopped","Windows Installer"
"MsKeyboardFilter","Stopped","Microsoft Keyboard Filter"
"NaturalAuthentication","Stopped","Natural Authentication"
"NcaSvc","Stopped","Network Connectivity Assistant"
"NcbService","Running","Network Connection Broker"
"NcdAutoSetup","Stopped","Network Connected Devices Auto-Setup"
"Netlogon","Stopped","Netlogon"
"Netman","Stopped","Network Connections"
"netprofm","Running","Network List Service"
"NetSetupSvc","Stopped","Network Setup Service"
"NetTcpPortSharing","Stopped","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Running","Microsoft Passport Container"
"NgcSvc","Running","Microsoft Passport"
"NlaSvc","Stopped","Network Location Awareness"
"NPSMSvc_77393","Stopped","Now Playing Session Manager Service_77393"
"nsi","Running","Network Store Interface Service"
"nvagent","Running","Network Virtualization Service"
"OneSyncSvc_77393","Running","Sync Host_77393"
"P9RdrService_77393","Stopped","P9RdrService_77393"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PeerDistSvc","Stopped","BranchCache"
"PenService_77393","Stopped","PenService_77393"
"perceptionsimulation","Stopped","Windows Perception Simulation Service"
"PerfHost","Stopped","Performance Counter DLL Host"
"PhoneSvc","Stopped","Phone Service"
"PimIndexMaintenanceSvc_77393","Stopped","Contact Data_77393"
"pla","Stopped","Performance Logs & Alerts"
"PlugPlay","Running","Plug and Play"
"PolicyAgent","Stopped","IPsec Policy Agent"
"Power","Running","Power"
"PrintDeviceConfigurationService","Stopped","Print Device Configuration Service"
"PrintNotify","Stopped","Printer Extensions and Notifications"
"PrintScanBrokerService","Stopped","PrintScanBrokerService"
"PrintWorkflowUserSvc_77393","Stopped","PrintWorkflow_77393"
"ProfSvc","Running","User Profile Service"
"PushToInstall","Stopped","Windows PushToInstall Service"
"QWAVE","Stopped","Quality Windows Audio Video Experience"
"RasAuto","Stopped","Remote Access Auto Connection Manager"
"RasMan","Stopped","Remote Access Connection Manager"
"refsdedupsvc","Stopped","ReFS Dedup Service"
"RemoteAccess","Stopped","Routing and Remote Access"
"RemoteRegistry","Stopped","Remote Registry"
"RetailDemo","Stopped","Retail Demo Service"
"RmSvc","Running","Radio Management Service"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcLocator","Stopped","Remote Procedure Call (RPC) Locator"
"RpcSs","Running","Remote Procedure Call (RPC)"
"SamSs","Running","Security Accounts Manager"
"SCardSvr","Stopped","Smart Card"
"ScDeviceEnum","Running","Smart Card Device Enumeration Service"
"Schedule","Running","Task Scheduler"
"SCPolicySvc","Stopped","Smart Card Removal Policy"
"SDRSVC","Stopped","Windows Backup"
"seclogon","Stopped","Secondary Log-on"
"SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","Stopped","Payments and NFC/SE Manager"
"SENS","Running","System Event Notification Service"
"Sense","Stopped","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Stopped","Sensor Data Service"
"SensorService","Stopped","Sensor Service"
"SensrSvc","Stopped","Sensor Monitoring Service"
"SessionEnv","Running","Remote Desktop Configuration"
"SharedAccess","Running","Internet Connection Sharing (ICS)"
"ShellHWDetection","Running","Shell Hardware Detection"
"shpamsvc","Stopped","Shared PC Account Manager"
"smphost","Stopped","Microsoft Storage Spaces SMP"
"SmsRouter","Stopped","Microsoft Windows SMS Router Service."
"SNMPTrap","Stopped","SNMP Trap"
"Spooler","Running","Print Spooler"
"sppsvc","Stopped","Software Protection"
"SSDPSRV","Running","SSDP Discovery"
"ssh-agent","Stopped","OpenSSH Authentication Agent"
"SstpSvc","Stopped","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StiSvc","Stopped","Windows Image Acquisition (WIA)"
"StorSvc","Running","Storage Service"
"svsvc","Stopped","Spot Verifier"
"swprv","Running","Microsoft Software Shadow Copy Provider"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"TapiSrv","Stopped","Telephony"
"TermService","Running","Remote Desktop Services"
"TextInputManagementService","Running","Text Input Management Service"
"Themes","Running","Themes"
"TieringEngineService","Stopped","Storage Tiers Management"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TrkWks","Running","Distributed Link Tracking Client"
